Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
1;0.01.38;0.01.48;0.02.23;0.02.31;0.03.00;0.03.30;0.03.36
2;0.02.42;0.02.50;0.03.25;0.03.38;0.03.46;0.04.16;0.04.26
3;0.03.49;0.03.56;0.04.31;0.04.41;0.04.55;0.05.25;0.05.38
4;0.04.56;0.05.05;0.05.40;0.05.45;0.05.58;0.06.28;0.06.39
5;0.06.00;0.06.12;0.06.47;0.06.53;0.07.04;0.07.34;0.08.22
6;0.07.17;0.07.25;0.08.00;0.08.25;0.08.37;0.09.07;0.09.45
7;0.08.43;0.08.53;0.09.28;0.09.48;0.10.34;0.11.04;0.11.21
8;0.10.04;0.10.18;0.10.53;0.11.23;0.11.49;0.12.19;0.12.30
9;0.11.35;0.11.45;0.12.20;0.12.32;0.12.41;0.13.11;0.13.25
10;0.12.44;0.12.57;0.13.32;0.13.36;0.14.29;0.14.59;0.15.08
11;0.13.47;0.14.00;0.14.35;0.15.12;0.15.22;0.15.52;0.15.59
12;0.15.25;0.15.31;0.16.06;0.16.16;0.16.35;0.17.05;0.17.14
13;0.16.27;0.16.34;0.17.09;0.17.16;0.17.23;0.17.53;0.18.02
14;0.17.26;0.17.34;0.18.09;0.18.13;0.18.22;0.18.52;0.18.58
15;0.18.26;0.18.40;0.19.15;0.19.17;0.19.25;0.19.55;0.20.08
16;0.19.28;0.19.38;0.20.13;0.20.15;0.20.23;0.20.53;0.21.01
17;0.20.25;0.20.39;0.21.14;0.21.27;0.21.36;0.22.06;0.22.51
18;0.21.45;0.22.08;0.22.43;0.22.54;0.23.04;0.23.34;0.23.43
19;0.23.10;0.23.21;0.23.56;0.24.02;0.24.17;0.24.47;0.24.54
20;0.24.20;0.24.38;0.25.13;0.25.13;0.25.24;0.25.54;0.26.09
21;0.25.29;0.25.44;0.26.19;0.26.21;0.26.31;0.27.01;0.27.16
22;0.26.34;0.26.42;0.27.17;0.27.20;0.27.30;0.28.00;0.28.12
23;0.27.34;0.27.44;0.28.19;0.28.22;0.28.21;0.28.51;0.29.15
24;0.28.35;0.28.47;0.29.22;0.29.33;0.29.46;0.30.16;0.30.27
25;0.29.49;0.30.00;0.30.35;0.30.40;0.30.50;0.31.20;0.31.39
26;0.30.53;0.31.02;0.31.37;0.31.45;0.31.55;0.32.25;0.32.35
27;0.31.57;0.32.07;0.32.42;0.32.44;0.32.56;0.33.26;0.33.35
28;0.33.00;0.33.08;0.33.43;0.33.50;0.34.00;0.34.30;0.34.43
29;0.34.03;0.34.09;0.34.44;0.34.48;0.34.58;0.35.28;0.35.36
30;0.35.01;0.35.08;0.35.43;0.35.45;0.35.54;0.36.24;0.36.37
31;0.35.56;0.36.06;0.36.41;0.36.48;0.37.00;0.37.30;0.38.11
32;0.37.04;0.37.12;0.37.47;0.38.14;0.38.22;0.38.52;0.39.03
33;0.38.24;0.38.29;0.39.04;0.39.06;0.39.14;0.39.44;0.39.58
34;0.39.16;0.39.23;0.39.58;0.39.59;0.40.09;0.40.39;0.40.48
35;0.40.12;0.40.18;0.40.53;0.40.55;0.41.04;0.41.34;0.41.43
36;0.41.08;0.41.15;0.41.50;0.41.53;0.42.04;0.42.34;0.42.50
