Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
37;0.42.08;0.42.14;0.42.49;0.42.51;0.43.00;0.43.30;0.43.45
38;0.43.04;0.43.10;0.43.45;0.43.47;0.43.57;0.44.27;0.44.38
39;0.43.58;0.44.06;0.44.41;0.44.42;0.44.51;0.45.21;0.45.34
40;0.44.54;0.44.59;0.45.34;0.45.35;0.45.46;0.46.16;0.46.31
41;0.45.51;0.45.56;0.46.31;0.46.34;0.46.41;0.47.11;0.47.20
42;0.46.46;0.46.52;0.47.27;0.47.32;0.47.45;0.48.15;0.48.24
43;0.47.50;0.47.56;0.48.31;0.48.33;0.48.46;0.49.16;0.49.29
44;0.48.48;0.48.57;0.49.32;0.49.38;0.49.48;0.50.18;0.50.29
45;0.49.53;0.50.08;0.50.43;0.50.45;0.51.00;0.51.30;0.51.42
46;0.51.03;0.51.11;0.51.46;0.51.52;0.52.00;0.52.30;0.52.50
47;0.52.11;0.52.24;0.52.59;0.53.01;0.53.13;0.53.43;0.54.02
48;0.53.19;0.53.31;0.54.06;0.54.11;0.54.22;0.54.52;0.55.00
49;0.54.29;0.54.36;0.55.11;0.55.13;0.55.22;0.55.52;0.56.07
50;0.55.29;0.55.35;0.56.10;0.56.11;0.56.22;0.56.52;0.57.04
51;0.56.25;0.56.31;0.57.06;0.57.07;0.57.17;0.57.47;0.58.00
52;0.57.20;0.57.26;0.58.01;0.58.01;0.58.13;0.58.43;0.59.00
53;0.58.20;0.58.27;0.59.02;0.59.08;0.59.25;0.59.55;1.00.09
54;0.59.27;0.59.38;1.00.13;1.00.19;1.00.28;1.00.58;1.01.12
55;1.00.40;1.00.45;1.01.20;1.01.23;1.01.32;1.02.02;1.02.14
56;1.01.39;1.01.45;1.02.20;1.02.21;1.02.33;1.03.03;1.03.21
57;1.02.40;1.02.47;1.03.22;1.03.24;1.03.35;1.04.05;1.04.24
58;1.03.38;1.03.43;1.04.18;1.04.26;1.04.39;1.05.09;1.05.23
59;1.04.42;1.04.52;1.05.27;1.05.28;1.05.40;1.06.10;1.06.20
60;1.05.44;1.05.51;1.06.26;1.06.26;1.06.36;1.07.06;1.07.22
61;1.06.38;1.06.46;1.07.21;1.07.24;1.07.34;1.08.04;1.08.18
62;1.07.37;1.07.42;1.08.17;1.08.21;1.08.36;1.09.06;1.09.16
63;1.08.40;1.08.45;1.09.20;1.09.20;1.09.32;1.10.02;1.10.17
64;1.09.36;1.09.44;1.10.19;1.10.20;1.10.30;1.11.00;1.11.09
65;1.10.34;1.10.41;1.11.16;1.11.17;1.11.29;1.11.59;1.12.09
66;1.11.43;1.11.48;1.12.23;1.12.24;1.12.34;1.13.04;1.13.12
67;1.12.36;1.12.43;1.13.18;1.13.18;1.13.28;1.13.58;1.14.09
68;1.13.31;1.13.37;1.14.12;1.14.16;1.14.24;1.14.54;1.15.08
69;1.14.28;1.14.36;1.15.11;1.15.13;1.15.22;1.15.52;1.16.03
70;1.15.26;1.15.34;1.16.09;1.16.09;1.16.22;1.16.52;1.17.02
71;1.16.26;1.16.32;1.17.07;1.17.07;1.17.20;1.17.50;1.18.00
72;1.17.26;1.17.32;1.18.07;1.18.08;1.18.20;1.18.50;1.19.09
73;0.00.01;0.00.07;0.00.42;0.00.44;0.00.58;0.01.28;0.01.42
74;0.01.12;0.01.19;0.01.54;0.01.55;0.02.07;0.02.37;0.02.43
75;0.03.27;0.03.36;0.04.11;0.04.11;0.04.23;0.04.53;0.05.02
76;0.05.06;0.05.14;0.05.49;0.05.52;0.06.03;0.06.33;0.07.19
77;0.06.27;0.06.34;0.07.09;0.07.21;0.07.32;0.08.02;0.08.09
78;0.07.35;0.07.40;0.08.15;0.08.19;0.08.29;0.08.59;0.09.05
79;0.08.32;0.08.37;0.09.12;0.09.16;0.09.28;0.09.58;0.10.06
80;0.09.30;0.09.37;0.10.12;0.10.13;0.10.22;0.10.52;0.11.00
81;0.10.28;0.10.35;0.11.10;0.11.12;0.11.21;0.11.51;0.12.01
82;0.11.27;0.11.36;0.12.11;0.12.11;0.12.20;0.12.50;0.12.59
83;0.13.11;0.13.19;0.13.54;0.13.58;0.14.11;0.14.41;0.14.47
84;0.14.15;0.14.23;0.14.58;0.14.59;0.15.09;0.15.39;0.15.46
85;0.16.24;0.16.28;0.17.03;0.17.05;0.17.18;0.17.48;0.18.00
86;0.17.24;0.17.32;0.18.07;0.18.10;0.18.20;0.18.50;0.18.59
87;0.19.00;0.19.05;0.19.40;0.19.42;0.19.53;0.20.23;0.20.32
88;0.00.29;0.00.35;0.01.10;0.01.11;0.01.19;0.01.49;0.01.54
89;0.01.21;0.01.27;0.02.02;0.02.02;0.02.13;0.02.43;0.02.49
90;0.02.14;0.02.23;0.02.58;0.02.57;0.03.08;0.03.38;0.03.48
91;0.03.10;0.03.15;0.03.50;0.03.51;0.04.03;0.04.33;0.04.46
92;0.04.07;0.04.12;0.04.47;0.04.47;0.04.54;0.05.24;0.05.33
93;0.04.55;0.04.59;0.05.34;0.05.34;0.05.44;0.06.14;0.06.21
94;0.05.45;0.05.50;0.06.25;0.06.26;0.06.37;0.07.07;0.07.13
95;0.06.39;0.06.46;0.07.21;0.07.21;0.07.31;0.08.01;0.08.09
96;0.07.33;0.07.39;0.08.14;0.08.15;0.08.24;0.08.54;0.09.03
97;0.08.26;0.08.32;0.09.07;0.09.07;0.09.18;0.09.48;0.10.08
98;0.09.20;0.09.26;0.10.01;0.10.10;0.10.27;0.10.57;0.11.08
99;0.10.29;0.10.36;0.11.11;0.11.11;0.11.19;0.11.49;0.11.59
100;0.11.22;0.11.28;0.12.03;0.12.03;0.12.22;0.12.52;0.13.03
101;0.12.26;0.12.38;0.13.13;0.13.13;0.13.24;0.13.54;0.14.04
102;0.13.25;0.13.29;0.14.04;0.14.06;0.14.17;0.14.47;0.15.00
103;0.14.19;0.14.26;0.15.01;0.15.03;0.15.13;0.15.43;0.15.56
104;0.15.17;0.15.23;0.15.58;0.16.03;0.16.19;0.16.49;0.16.58
105;0.16.20;0.16.29;0.17.04;0.17.04;0.17.16;0.17.46;0.18.07
106;0.19.40;0.19.47;0.20.22;0.20.25;0.21.02;0.21.32;0.22.14
107;0.21.11;0.21.35;0.22.10;0.22.21;0.22.32;0.23.02;0.23.15
108;0.22.35;0.22.41;0.23.16;0.23.24;0.23.36;0.24.06;0.24.16
109;0.23.40;0.23.51;0.24.26;0.24.28;0.24.37;0.25.07;0.25.18
110;0.24.51;0.25.09;0.25.44;0.25.45;0.25.55;0.26.25;0.26.46
111;0.26.22;0.26.30;0.27.05;0.27.06;0.27.15;0.27.45;0.27.54
112;0.27.55;0.28.02;0.28.37;0.29.00;0.29.11;0.29.41;0.29.52
113;0.29.13;0.29.21;0.29.56;0.29.57;0.30.09;0.30.39;0.30.52
114;0.30.26;0.30.37;0.31.12;0.31.18;0.31.32;0.32.02;0.32.16
115;0.31.55;0.32.02;0.32.37;0.32.44;0.32.54;0.33.24;0.34.10
116;0.33.15;0.33.23;0.33.58;0.34.12;0.34.27;0.34.57;0.35.35
117;0.34.30;0.34.37;0.35.12;0.35.36;0.35.47;0.36.17;0.36.24
118;0.35.49;0.35.58;0.36.33;0.36.34;0.36.43;0.37.13;0.38.23
119;0.36.46;0.36.54;0.37.29;0.38.25;0.38.44;0.39.14;0.39.30
120;0.38.50;0.39.10;0.39.45;0.39.48;0.39.59;0.40.29;0.40.39
121;0.40.01;0.40.09;0.40.44;0.40.47;0.40.58;0.41.28;0.41.36
122;0.41.00;0.41.08;0.41.43;0.41.43;0.41.55;0.42.25;0.42.39
123;0.41.59;0.42.07;0.42.42;0.42.46;0.42.59;0.43.29;0.44.34
124;0.43.02;0.43.15;0.43.50;0.44.36;0.44.49;0.45.19;0.45.34
125;0.44.54;0.45.11;0.45.46;0.45.47;0.46.01;0.46.31;0.47.16
126;0.46.15;0.46.29;0.47.04;0.47.17;0.47.33;0.48.03;0.48.22
127;0.47.37;0.47.47;0.48.22;0.48.25;0.48.35;0.49.05;0.49.33
128;0.48.38;0.48.50;0.49.25;0.49.40;0.49.57;0.50.27;0.50.35
129;0.50.37;0.50.47;0.51.22;0.52.49;0.53.06;0.53.36;0.53.47
130;0.53.07;0.53.12;0.53.47;0.53.48;0.54.03;0.54.33;0.55.07
131;0.54.06;0.54.17;0.54.52;0.55.10;0.55.21;0.55.51;0.56.31
132;0.55.24;0.55.30;0.56.05;0.56.55;0.57.07;0.57.37;0.57.49
133;0.57.08;0.57.14;0.57.49;0.57.51;0.58.02;0.58.32;0.58.48
134;0.58.07;0.58.17;0.58.52;0.58.57;0.59.08;0.59.38;0.59.54
135;0.59.11;0.59.20;0.59.55;0.59.56;1.00.06;1.00.36;1.00.47
136;1.00.10;1.00.17;1.00.52;1.00.54;1.01.07;1.01.37;1.01.47
137;1.01.12;1.01.20;1.01.55;1.02.04;1.02.25;1.02.55;1.03.07
138;1.03.51;1.04.00;1.04.35;1.04.35;1.04.49;1.05.19;1.05.37
139;1.05.10;1.05.19;1.05.54;1.06.30;1.06.38;1.07.08;1.07.16
140;1.06.41;1.06.50;1.07.25;1.07.30;1.07.43;1.08.13;1.08.24
141;1.07.47;1.07.57;1.08.32;1.08.36;1.08.47;1.09.17;1.09.27
142;1.08.59;1.09.06;1.09.41;1.09.41;1.09.53;1.10.23;1.10.45
143;1.09.57;1.10.05;1.10.40;1.10.47;1.10.59;1.11.29;1.11.35
144;1.11.03;1.11.12;1.11.47;1.11.49;1.12.01;1.12.31;1.12.41
145;1.12.06;1.12.15;1.12.50;1.13.02;1.13.19;1.13.49;1.13.59
146;1.14.02;1.14.10;1.14.45;1.15.01;1.15.14;1.15.44;1.15.51
147;1.15.15;1.15.22;1.15.57;1.16.13;1.16.24;1.16.54;1.17.05
148;1.16.40;1.16.48;1.17.23;1.17.24;1.17.36;1.18.06;1.18.14
149;1.17.47;1.17.57;1.18.32;1.18.33;1.18.46;1.19.16;1.19.22
150;1.19.24;1.19.32;1.20.07;1.20.07;1.20.17;1.20.47;1.20.58
151;1.20.27;1.20.41;1.21.16;1.21.16;1.21.28;1.21.58;1.22.08
152;1.21.38;1.21.45;1.22.20;1.22.20;1.22.34;1.23.04;1.23.10
153;1.22.37;1.22.44;1.23.19;1.23.21;1.23.35;1.24.05;1.25.09
154;1.23.50;1.23.57;1.24.32;1.25.13;1.25.27;1.25.57;1.26.07
155;1.25.30;1.25.39;1.26.14;1.26.16;1.26.28;1.26.58;1.27.07
156;1.26.31;1.26.40;1.27.15;1.27.17;1.27.32;1.28.02;1.28.12
157;1.27.37;1.27.47;1.28.22;1.28.40;1.28.53;1.29.23;1.29.36
158;1.29.00;1.29.12;1.29.47;1.29.50;1.30.11;1.30.41;1.30.53
159;1.30.19;1.30.28;1.31.03;1.31.05;1.31.23;1.31.53;1.32.08
160;1.31.36;1.31.45;1.32.20;1.33.27;1.33.41;1.34.11;1.34.20
161;1.33.43;1.33.51;1.34.26;1.34.45;1.34.58;1.35.28;1.35.43
162;1.35.02;1.35.15;1.35.50;1.35.55;1.36.07;1.36.37;1.36.45
163;1.36.11;1.36.17;1.36.52;1.36.53;1.37.06;1.37.36;1.38.02
164;1.37.16;1.37.23;1.37.58;1.38.04;1.38.11;1.38.41;1.38.49
165;1.38.16;1.38.25;1.39.00;1.39.04;1.39.14;1.39.44;1.39.56
166;1.39.39;1.39.46;1.40.21;1.40.24;1.40.39;1.41.09;1.41.19
167;0.01.20;0.01.30;0.02.05;0.02.06;0.02.13;0.02.43;0.02.53
168;0.02.25;0.02.36;0.03.11;0.03.12;0.03.28;0.03.58;0.04.06
169;0.03.36;0.03.45;0.04.20;0.04.21;0.04.30;0.05.00;0.05.08
170;0.04.40;0.04.50;0.05.25;0.05.28;0.05.46;0.06.16;0.06.25
171;0.05.50;0.05.57;0.06.32;0.06.34;0.06.50;0.07.20;0.07.33
172;0.10.16;0.10.25;0.11.00;0.11.01;0.11.17;0.11.47;0.12.20
173;0.11.57;0.12.07;0.12.42;0.12.54;0.13.03;0.13.33;0.13.49
174;0.13.09;0.13.20;0.13.55;0.13.56;0.14.09;0.14.39;0.14.49
175;0.14.22;0.14.32;0.15.07;0.15.08;0.15.21;0.15.51;0.16.02
176;0.15.40;0.15.48;0.16.23;0.16.24;0.16.35;0.17.05;0.17.17
177;0.16.40;0.16.47;0.17.22;0.17.23;0.17.36;0.18.06;0.18.13
178;0.17.44;0.17.56;0.18.31;0.18.38;0.18.56;0.19.26;0.19.59
179;0.19.05;0.19.13;0.19.48;0.20.00;0.20.18;0.20.48;0.21.48
180;0.20.34;0.20.43;0.21.18;0.21.49;0.22.05;0.22.35;0.24.46
181;0.22.16;0.22.24;0.22.59;0.24.48;0.24.54;0.25.24;0.25.37
182;0.24.57;0.25.04;0.25.39;0.25.40;0.25.47;0.26.17;0.26.30
183;0.25.50;0.25.56;0.26.31;0.26.32;0.26.48;0.27.18;0.27.21
184;0.26.50;0.26.56;0.27.31;0.27.32;0.27.39;0.28.09;0.28.20
185;0.27.43;0.27.48;0.28.23;0.28.25;0.28.35;0.29.05;0.29.16
186;0.28.46;0.28.55;0.29.30;0.29.33;0.29.45;0.30.15;0.30.24
187;0.30.04;0.30.10;0.30.45;0.30.46;0.31.00;0.31.30;0.31.59
188;0.00.24;0.00.34;0.01.09;0.01.11;0.01.24;0.01.54;0.02.17
189;0.01.38;0.01.45;0.02.20;0.02.31;0.02.46;0.03.16;0.03.32
190;0.03.05;0.03.14;0.03.49;0.03.50;0.04.01;0.04.31;0.04.47
191;0.04.28;0.04.37;0.05.12;0.05.13;0.05.25;0.05.55;0.06.03
192;0.06.38;0.06.49;0.07.24;0.07.46;0.07.59;0.08.29;0.08.42
193;0.08.03;0.08.12;0.08.47;0.08.51;0.09.01;0.09.31;0.09.57
194;0.09.30;0.09.39;0.10.14;0.10.25;0.10.40;0.11.10;0.11.25
195;0.11.00;0.11.06;0.11.41;0.11.52;0.12.10;0.12.40;0.12.49
196;0.12.15;0.12.23;0.12.58;0.13.00;0.13.14;0.13.44;0.13.57
197;0.13.19;0.13.28;0.14.03;0.14.06;0.14.19;0.14.49;0.15.05
198;0.14.33;0.14.49;0.15.24;0.15.25;0.15.35;0.16.05;0.16.13
199;0.15.41;0.15.50;0.16.25;0.16.26;0.16.34;0.17.04;0.17.21
200;0.16.56;0.17.04;0.17.39;0.17.40;0.17.56;0.18.26;0.19.37
201;0.18.41;0.18.49;0.19.24;0.19.40;0.19.54;0.20.24;0.20.49
202;0.20.22;0.20.30;0.21.05;0.21.16;0.21.34;0.22.04;0.23.16
203;0.22.05;0.22.15;0.22.50;0.23.20;0.23.43;0.24.13;0.24.22
204;0.23.47;0.23.55;0.24.30;0.24.31;0.25.13;0.25.43;0.25.53
205;0.25.17;0.25.24;0.25.59;0.26.01;0.26.11;0.26.41;0.26.52
206;0.26.15;0.26.24;0.26.59;0.27.05;0.27.16;0.27.46;0.27.58
207;0.27.19;0.27.30;0.28.05;0.28.06;0.28.35;0.29.05;0.29.18
208;0.28.38;0.28.47;0.29.22;0.29.30;0.29.43;0.30.13;0.30.24
209;0.29.47;0.29.56;0.30.31;0.30.41;0.31.12;0.31.42;0.32.35
210;0.31.18;0.31.29;0.32.04;0.32.38;0.32.48;0.33.18;0.33.36
211;0.32.52;0.32.58;0.33.33;0.33.38;0.33.52;0.34.22;0.34.38
212;0.33.59;0.34.08;0.34.43;0.34.49;0.35.05;0.35.35;0.35.53
213;0.35.10;0.35.17;0.35.52;0.36.00;0.36.18;0.36.48;0.37.02
214;0.36.22;0.36.30;0.37.05;0.37.07;0.37.19;0.37.49;0.38.06
215;0.37.24;0.37.32;0.38.07;0.38.08;0.38.35;0.39.05;0.39.24
216;0.38.41;0.38.48;0.39.23;0.39.38;0.39.47;0.40.17;0.40.39
217;0.39.51;0.40.06;0.40.41;0.40.53;0.41.05;0.41.35;0.41.45
218;0.41.11;0.41.17;0.41.52;0.41.57;0.42.10;0.42.40;0.42.51
219;0.42.54;0.43.07;0.43.42;0.44.05;0.44.14;0.44.44;0.44.58
220;0.44.17;0.44.22;0.44.57;0.44.59;0.45.09;0.45.39;0.45.52
221;0.45.20;0.45.32;0.46.07;0.47.32;0.47.46;0.48.16;0.48.30
222;0.47.48;0.47.56;0.48.31;0.48.32;0.48.46;0.49.16;0.49.29
223;0.48.49;0.48.55;0.49.30;0.49.31;0.49.44;0.50.14;0.50.29
224;0.49.51;0.49.58;0.50.33;0.50.39;0.50.57;0.51.27;0.51.38
225;0.51.11;0.51.23;0.51.58;0.52.09;0.52.34;0.53.04;0.53.17
226;0.52.23;0.52.38;0.53.13;0.53.20;0.53.34;0.54.04;0.54.22
227;0.53.39;0.53.51;0.54.26;0.54.43;0.54.56;0.55.13;0.55.40
228;0.54.58;0.55.05;0.55.40;0.55.42;0.55.53;0.56.23;0.56.37
229;0.55.57;0.56.03;0.56.38;0.56.40;0.56.53;0.57.23;0.57.28
230;0.57.00;0.57.11;0.57.46;0.57.48;0.58.01;0.58.31;0.58.36
231;0.58.12;0.58.20;0.58.55;0.58.56;0.59.08;0.59.38;1.00.04
232;0.59.44;0.59.52;1.00.27;1.00.28;1.00.40;1.01.10;1.01.22
233;1.01.03;1.01.11;1.01.46;1.01.48;1.02.00;1.02.30;1.02.39
234;1.02.43;1.02.51;1.03.26;1.03.40;1.03.55;1.04.25;1.04.35
235;1.04.15;1.04.23;1.04.58;1.05.03;1.05.15;1.05.45;1.05.53
236;1.05.20;1.05.28;1.06.03;1.06.10;1.06.21;1.06.51;1.07.00
237;1.06.27;1.06.34;1.07.09;1.07.10;1.07.24;1.07.54;1.08.04
238;1.07.28;1.07.37;1.08.12;1.08.14;1.08.28;1.08.58;1.09.11
239;1.08.48;1.08.56;1.09.31;1.09.32;1.09.43;1.10.13;1.10.22
240;1.09.53;1.10.01;1.10.36;1.10.41;1.10.54;1.11.24;1.12.02
