Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
1;0.00.10;0.00.29;0.01.04;0.01.18;0.01.40;0.02.11;0.02.31
2;0.02.07;0.02.17;0.02.52;0.02.53;0.03.11;0.03.41;0.04.29
3;0.03.22;0.03.35;0.04.10;0.04.32;0.04.52;0.05.23;0.05.44
4;0.04.58;0.05.08;0.05.43;0.05.51;0.06.07;0.06.37;0.07.23
5;0.06.22;0.06.33;0.07.08;0.07.27;0.07.42;0.08.13;0.08.22
6;0.07.47;0.07.57;0.08.32;0.08.33;0.08.53;0.09.23;0.09.57
7;0.09.34;0.09.43;0.10.18;0.10.20;0.10.35;0.11.06;0.11.28
8;0.10.37;0.10.46;0.11.21;0.11.32;0.11.43;0.12.13;0.12.26
9;0.11.45;0.11.53;0.12.28;0.12.29;0.12.50;0.13.21;0.13.31
10;0.12.51;0.12.57;0.13.32;0.13.33;0.13.52;0.14.23;0.14.31
11;0.01.10;0.01.17;0.01.52;0.01.56;0.02.17;0.02.47;0.02.59
12;0.02.19;0.02.35;0.03.10;0.03.11;0.03.27;0.03.58;0.04.16
13;0.04.19;0.04.32;0.05.07;0.05.08;0.05.26;0.05.56;0.06.09
14;0.05.30;0.05.40;0.06.15;0.06.21;0.06.39;0.07.09;0.07.20
15;0.06.45;0.06.55;0.07.30;0.07.34;0.07.51;0.08.21;0.09.13
16;0.07.56;0.08.05;0.08.40;0.09.15;0.09.30;0.10.00;0.10.11
17;0.09.32;0.09.43;0.10.18;0.10.20;0.10.38;0.11.42;0.11.50
18;0.10.45;0.10.56;0.11.31;0.11.52;0.12.13;0.12.43;0.13.13
19;0.14.30;0.14.36;0.15.11;0.15.26;0.15.49;0.16.20;0.16.46
20;0.15.53;0.16.04;0.16.39;0.16.57;0.17.12;0.17.43;0.17.51
21;0.17.15;0.17.24;0.17.59;0.18.02;0.18.28;0.18.58;0.19.09
22;0.19.11;0.19.21;0.19.56;0.20.02;0.20.27;0.20.57;0.21.12
23;0.25.06;0.25.12;0.25.47;0.26.01;0.26.18;0.26.49;0.27.00
24;0.28.08;0.28.15;0.28.50;0.29.07;0.29.26;0.29.56;0.30.12
25;0.30.15;0.30.20;0.30.55;0.30.58;0.31.16;0.31.46;0.32.06
26;0.34.30;0.34.36;0.35.11;0.35.16;0.35.37;0.36.07;0.36.16
27;0.36.31;0.36.39;0.37.14;0.37.20;0.37.36;0.38.06;0.38.19
28;0.40.34;0.40.44;0.41.19;0.41.23;0.41.46;0.42.16;0.42.29
29;0.42.48;0.42.58;0.43.33;0.43.44;0.44.08;0.44.38;0.44.50
30;0.44.12;0.44.20;0.44.55;0.45.00;0.45.19;0.45.49;0.46.00
31;0.45.22;0.45.28;0.46.03;0.46.02;0.46.20;0.46.50;0.46.55
32;0.47.07;0.47.15;0.47.50;0.47.53;0.48.04;0.48.34;0.48.49
33;0.48.55;0.49.04;0.49.39;0.49.51;0.50.08;0.50.38;0.51.01
34;0.50.14;0.50.21;0.50.56;0.51.03;0.51.22;0.51.52;0.52.28
35;0.52.06;0.52.16;0.52.51;0.53.39;0.54.02;0.54.32;0.54.49
36;0.54.33;0.54.37;0.55.12;0.55.15;0.55.39;0.56.09;0.56.16
37;0.56.46;0.56.54;0.57.29;0.58.25;0.58.36;0.59.06;0.59.38
38;0.59.15;0.59.20;0.59.55;0.59.58;1.00.11;1.00.41;1.00.51
39;1.01.34;1.01.42;1.02.17;1.02.18;1.02.36;1.03.06;1.03.18
40;1.02.48;1.02.58;1.03.33;1.03.36;1.03.52;1.04.22;1.04.32
41;1.05.04;1.05.15;1.05.50;1.06.07;1.06.20;1.06.50;1.06.57
42;1.06.36;1.06.46;1.07.21;1.07.27;1.07.40;1.08.10;1.09.25
43;1.08.21;1.08.37;1.09.12;1.09.27;1.09.39;1.10.09;1.10.56
44;1.10.12;1.10.23;1.10.58;1.10.59;1.11.17;1.11.47;1.12.04
45;1.11.43;1.11.55;1.12.30;1.12.31;1.12.42;1.13.12;1.13.17
46;1.12.43;1.12.48;1.13.23;1.13.27;1.13.37;1.14.07;1.14.13
47;1.13.41;1.13.44;1.14.19;1.14.20;1.14.30;1.15.00;1.15.12
48;1.14.33;1.14.41;1.15.16;1.15.34;1.15.46;1.16.16;1.16.22
49;1.16.23;1.16.29;1.17.04;1.17.12;1.17.22;1.17.52;1.18.02
50;1.17.32;1.17.42;1.18.17;1.18.20;1.18.30;1.19.00;1.19.08
51;1.19.10;1.19.18;1.19.53;1.20.10;1.20.20;1.20.50;1.20.54
52;1.20.33;1.20.39;1.21.14;1.21.24;1.21.36;1.22.06;1.22.18
53;1.21.40;1.21.45;1.22.20;1.22.23;1.22.42;1.23.12;1.23.25
54;1.23.27;1.23.35;1.24.10;1.24.16;1.24.31;1.25.01;1.25.14
55;1.24.47;1.24.55;1.25.30;1.25.32;1.25.46;1.26.16;1.26.26
56;1.26.10;1.26.17;1.26.52;1.26.54;1.27.04;1.27.34;1.27.44
57;1.27.45;1.27.55;1.28.30;1.28.34;1.28.46;1.29.16;1.29.26
58;1.28.53;1.28.59;1.29.34;1.29.36;1.29.47;1.30.17;1.30.23
59;1.29.50;1.29.56;1.30.31;1.30.35;1.30.53;1.31.23;1.31.34
60;1.30.58;1.31.03;1.31.38;1.31.42;1.31.56;1.32.26;1.32.32
61;0.01.00;0.01.06;0.05.38;0.01.58;0.02.11;0.02.11;0.02.49
62;0.02.13;0.02.24;0.06.56;0.03.02;0.03.16;0.03.16;0.03.58
