Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
63;0.03.30;0.03.36;0.08.08;0.04.13;0.04.23;0.04.23;0.05.04
64;0.04.34;0.04.39;0.09.11;0.05.18;0.05.34;0.05.34;0.06.13
65;0.05.44;0.05.50;0.10.22;0.06.24;0.06.46;0.06.46;0.07.42
66;0.06.49;0.06.57;0.11.29;0.07.44;0.08.01;0.08.01;0.08.37
67;0.08.03;0.08.09;0.12.41;0.08.45;0.08.56;0.08.56;0.09.33
68;0.08.59;0.09.13;0.13.45;0.09.50;0.10.07;0.10.07;0.10.52
69;0.10.10;0.10.18;0.14.50;0.10.56;0.11.08;0.11.08;0.11.46
70;0.11.11;0.11.17;0.15.49;0.11.52;0.12.06;0.12.06;0.13.00
71;0.12.07;0.12.15;0.16.47;0.13.01;0.13.11;0.13.11;0.13.47
72;0.13.13;0.13.22;0.17.54;0.13.58;0.14.10;0.14.10;0.14.48
73;0.14.13;0.14.19;0.18.51;0.14.54;0.15.05;0.15.05;0.15.40
74;0.15.08;0.15.13;0.19.45;0.15.49;0.16.00;0.16.00;0.16.37
75;0.16.08;0.16.14;0.20.46;0.16.52;0.17.04;0.17.04;0.17.42
76;0.17.07;0.17.11;0.21.43;0.17.48;0.17.59;0.17.59;0.18.36
77;0.18.03;0.18.09;0.22.41;0.19.07;0.19.35;0.19.35;0.20.09
78;0.19.24;0.19.31;0.24.03;0.20.11;0.20.23;0.20.23;0.21.29
79;0.20.25;0.20.29;0.25.01;0.21.31;0.21.39;0.21.39;0.22.28
80;0.21.40;0.21.44;0.26.16;0.22.30;0.22.59;0.22.59;0.23.33
81;0.22.44;0.22.48;0.27.20;0.22.34;0.24.09;0.24.09;0.24.42
82;0.23.49;0.23.53;0.28.25;0.24.43;0.24.54;0.24.54;0.25.31
83;0.24.56;0.25.03;0.29.35;0.25.44;0.25.56;0.25.56;0.26.41
84;0.26.01;0.26.05;0.30.37;0.26.44;0.26.55;0.26.55;0.27.36
85;0.27.05;0.27.10;0.31.42;0.26.48;0.28.06;0.28.06;0.28.46
86;0.28.19;0.28.24;0.32.56;0.28.58;0.29.10;0.29.10;0.29.46
87;0.29.13;0.29.18;0.33.50;0.29.56;0.30.05;0.30.05;0.30.53
88;0.30.18;0.30.25;0.34.57;0.31.01;0.31.12;0.31.12;0.31.48
89;0.31.15;0.31.22;0.35.54;0.31.58;0.32.11;0.32.11;0.32.47
90;0.32.15;0.32.25;0.36.57;0.33.00;0.33.13;0.33.13;0.33.50
91;0.33.21;0.33.29;0.38.01;0.34.06;0.34.18;0.34.18;0.34.58
92;0.34.36;0.34.43;0.39.15;0.35.19;0.35.31;0.35.31;0.36.06
93;0.35.34;0.35.39;0.40.11;0.36.16;0.36.29;0.36.29;0.37.09
94;0.36.32;0.36.37;0.41.09;0.37.15;0.37.26;0.37.26;0.38.02
95;0.37.29;0.37.35;0.42.07;0.38.12;0.38.25;0.38.25;0.39.03
96;0.38.41;0.38.45;0.43.17;0.39.23;0.39.37;0.39.37;0.40.14
97;0.39.41;0.39.47;0.44.19;0.40.24;0.40.36;0.40.36;0.41.14
98;0.40.46;0.40.52;0.45.24;0.41.27;0.41.38;0.41.38;0.42.16
99;0.41.42;0.41.48;0.46.20;0.42.25;0.42.36;0.42.36;0.43.13
100;0.42.44;0.42.49;0.47.21;0.43.25;0.43.39;0.43.39;0.44.27
101;0.44.04;0.44.08;0.48.40;0.44.43;0.44.51;0.44.51;0.45.34
102;0.44.53;0.44.57;0.49.29;0.45.36;0.45.48;0.45.48;0.46.26
103;0.45.51;0.46.01;0.50.33;0.46.42;0.46.57;0.46.57;0.47.32
104;0.47.02;0.47.06;0.51.38;0.47.41;0.47.50;0.47.50;0.48.30
105;0.47.53;0.47.58;0.52.30;0.48.33;0.48.43;0.48.43;0.49.22
106;0.48.47;0.48.53;0.53.25;0.49.29;0.49.39;0.49.39;0.50.16
107;0.49.41;0.49.53;0.54.25;0.50.30;0.50.45;0.50.45;0.51.24
108;0.50.49;0.50.54;0.55.26;0.51.29;0.51.38;0.51.38;0.52.20
109;0.51.42;0.51.50;0.56.22;0.52.25;0.52.35;0.52.35;0.53.18
110;0.52.38;0.52.42;0.57.14;0.53.24;0.53.45;0.53.45;0.54.21
111;0.53.34;0.53.40;0.58.12;0.54.23;0.54.35;0.54.35;0.55.11
112;0.54.39;0.54.42;0.59.14;0.55.20;0.55.31;0.55.31;0.56.07
113;0.55.33;0.55.40;1.00.12;0.56.13;0.56.25;0.56.25;0.57.10
114;0.00.10;0.00.15;0.00.50;0.00.50;0.00.59;0.01.29;0.01.41
115;0.01.02;0.01.08;0.01.43;0.01.46;0.02.09;0.02.39;0.02.47
116;0.02.17;0.02.22;0.02.57;0.03.00;0.03.14;0.03.44;0.03.57
117;0.03.42;0.03.48;0.04.23;0.04.23;0.04.35;0.05.05;0.05.17
118;0.04.46;0.04.54;0.05.29;0.05.28;0.05.41;0.06.11;0.06.22
119;0.05.57;0.06.02;0.06.37;0.06.40;0.06.51;0.07.21;0.07.45
120;0.07.05;0.07.12;0.07.47;0.07.47;0.07.57;0.08.27;0.08.35
121;0.08.11;0.08.19;0.08.54;0.08.59;0.09.18;0.09.48;0.09.53
122;0.09.21;0.09.26;0.10.01;0.10.04;0.10.17;0.10.47;0.10.59
123;0.10.20;0.10.25;0.11.00;0.11.02;0.11.12;0.11.42;0.11.58
124;0.11.31;0.11.40;0.12.15;0.12.16;0.12.27;0.12.57;0.13.06
125;0.12.33;0.12.43;0.13.18;0.13.21;0.13.35;0.14.05;0.14.11
126;0.13.55;0.14.00;0.14.35;0.14.35;0.14.51;0.15.21;0.15.26
127;0.14.53;0.14.58;0.15.33;0.15.44;0.15.57;0.16.27;0.16.38
128;0.16.01;0.16.06;0.16.41;0.16.41;0.16.52;0.17.22;0.17.40
129;0.16.55;0.17.00;0.17.35;0.17.43;0.17.56;0.18.26;0.18.35
130;0.18.03;0.18.10;0.18.45;0.18.45;0.19.00;0.19.30;0.19.37
131;0.19.02;0.19.08;0.19.43;0.19.43;0.19.55;0.20.25;0.20.34
132;0.20.05;0.20.10;0.20.45;0.20.46;0.20.58;0.21.28;0.21.38
133;0.21.01;0.21.07;0.21.42;0.21.43;0.21.56;0.22.26;0.22.33
134;0.22.13;0.22.20;0.22.55;0.22.57;0.23.09;0.23.39;0.23.49
135;0.23.20;0.23.25;0.24.00;0.24.04;0.23.18;0.23.48;0.24.58
136;0.24.31;0.24.39;0.25.14;0.25.17;0.25.31;0.26.01;0.26.09
137;0.25.49;0.25.55;0.26.30;0.26.37;0.26.49;0.27.19;0.27.23
138;0.26.57;0.27.02;0.27.37;0.27.36;0.27.50;0.28.20;0.28.28
139;0.27.56;0.28.00;0.28.35;0.28.36;0.28.56;0.29.26;0.29.36
140;0.29.00;0.29.07;0.29.42;0.29.43;0.29.56;0.30.26;0.30.40
141;0.30.08;0.30.15;0.30.50;0.30.58;0.31.10;0.31.40;0.31.41
142;0.31.21;0.31.31;0.32.06;0.32.07;0.32.15;0.32.45;0.32.52
143;0.32.17;0.32.25;0.33.00;0.33.01;0.33.11;0.33.41;0.33.48
144;0.33.16;0.33.22;0.33.57;0.33.57;0.34.10;0.34.40;0.34.56
145;0.34.15;0.34.25;0.35.00;0.35.01;0.35.13;0.35.43;0.35.53
146;0.35.34;0.35.40;0.36.15;0.35.56;0.36.07;0.36.37;0.37.18
147;0.36.45;0.36.55;0.37.30;0.37.34;0.37.45;0.38.15;0.38.21
148;0.37.48;0.37.52;0.38.27;0.38.28;0.38.41;0.39.11;0.39.20
149;0.38.44;0.38.49;0.39.24;0.39.24;0.39.38;0.40.08;0.40.20
150;0.39.49;0.39.56;0.40.31;0.40.32;0.40.42;0.41.12;0.41.28
151;0.41.09;0.41.15;0.41.50;0.41.55;0.42.05;0.42.35;0.42.41
152;0.42.08;0.42.14;0.42.49;0.42.59;0.43.15;0.43.45;0.43.50
153;0.43.17;0.43.21;0.43.56;0.44.01;0.44.11;0.44.41;0.44.48
154;0.44.22;0.44.27;0.45.02;0.45.03;0.45.14;0.45.44;0.45.52
155;0.45.17;0.45.21;0.45.56;0.45.56;0.46.08;0.46.38;0.46.54
156;0.46.32;0.46.36;0.47.11;0.47.11;0.47.22;0.47.52;0.47.58
157;0.47.59;0.48.04;0.48.39;0.48.40;0.48.52;0.49.22;0.49.31
158;0.48.55;0.49.01;0.49.36;0.50.11;0.50.19;0.50.49;0.51.06
159;0.50.24;0.50.28;0.51.03;0.51.08;0.51.18;0.51.48;0.51.54
160;0.51.20;0.51.26;0.52.01;0.52.01;0.52.14;0.52.44;0.52.50
161;0.52.16;0.52.23;0.52.58;0.52.56;0.53.11;0.53.41;0.53.50
162;0.53.13;0.53.20;0.53.55;0.54.00;0.54.11;0.54.41;0.54.47
163;0.54.14;0.54.20;0.54.55;0.54.55;0.55.02;0.55.32;0.55.45
164;0.55.10;0.55.16;0.55.51;0.55.53;0.56.03;0.56.33;0.56.45
165;0.56.13;0.56.18;0.56.53;0.56.56;0.57.08;0.57.38;0.57.48
166;0.57.11;0.57.17;0.57.52;0.57.56;0.58.08;0.58.38;0.58.44
167;0.58.47;0.58.52;0.59.27;0.59.27;0.59.39;1.00.09;1.00.15
168;0.59.54;0.59.59;1.00.34;1.00.35;1.00.52;1.01.22;1.01.36
169;1.00.53;1.00.01;1.00.36;1.01.39;1.01.59;1.02.29;1.02.34
170;1.02.03;1.02.08;1.02.43;1.02.46;1.02.59;1.03.29;1.03.41
171;1.03.15;1.03.20;1.03.55;1.04.01;1.04.14;1.04.44;1.04.51
172;1.04.17;1.04.23;1.04.58;1.05.02;1.05.13;1.05.43;1.05.52
173;1.05.20;1.05.24;1.05.59;1.06.00;1.06.09;1.06.39;1.06.46
174;1.06.12;1.06.19;1.06.54;1.06.55;1.07.07;1.07.37;1.07.54
175;1.07.10;1.07.18;1.07.53;1.08.01;1.08.13;1.08.43;1.09.00
176;1.08.35;1.08.41;1.09.16;1.09.16;1.09.30;1.10.00;1.10.10
177;1.09.32;1.09.37;1.10.12;1.10.16;1.10.28;1.10.58;1.11.10
178;1.10.31;1.10.34;1.11.09;1.11.16;1.11.29;1.11.59;1.12.31
179;1.11.44;1.11.49;1.12.24;1.12.33;1.12.40;1.13.10;1.13.18
180;1.12.51;1.12.56;1.13.31;1.13.49;1.13.59;1.14.29;1.14.39
181;1.14.01;1.14.05;1.14.40;1.14.43;1.14.52;1.15.22;1.15.29
182;1.14.59;1.15.04;1.15.39;1.15.52;1.16.06;1.16.36;1.16.44
183;1.16.10;1.16.15;1.16.50;1.16.52;1.17.06;1.17.36;1.17.44
184;1.17.08;1.17.16;1.17.51;1.17.50;1.18.01;1.18.31;1.18.41
185;1.18.03;1.18.07;1.18.42;1.18.45;1.19.00;1.19.30;1.19.57
186;1.19.37;1.19.43;1.20.18;1.20.27;1.20.35;1.21.05;1.22.18
187;1.21.00;1.21.05;1.21.40;1.22.19;1.22.34;1.23.04;1.23.08
188;1.22.35;1.22.39;1.23.14;1.23.14;1.23.22;1.23.52;1.23.58
189;1.23.24;1.23.28;1.24.03;1.24.03;1.24.10;1.24.40;1.24.48
190;1.24.12;1.24.17;1.24.52;1.24.52;1.25.03;1.25.33;1.25.42
191;1.25.07;1.25.13;1.25.48;1.25.52;1.26.03;1.26.33;1.26.39
192;1.26.05;1.26.13;1.26.48;1.26.48;1.26.58;1.27.28;1.27.34
193;1.27.37;1.27.41;1.28.16;1.28.16;1.28.26;1.28.56;1.29.12
194;1.28.44;1.28.49;1.29.24;1.29.30;1.29.48;1.30.18;1.30.30
195;1.29.52;1.29.57;1.30.32;1.30.35;1.30.52;1.31.22;1.31.32
196;1.30.56;1.31.04;1.31.39;1.31.40;1.31.51;1.32.21;1.32.28
