Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
273;1.13.22;1.13.28;1.14.03;1.14.04;1.14.18;1.14.48;1.14.58
274;1.14.35;1.14.40;1.15.15;1.15.15;1.15.33;1.16.03;1.16.12
275;1.15.37;1.15.44;1.16.19;1.16.20;1.16.36;1.17.06;1.17.18
276;1.16.55;1.17.00;1.17.35;1.17.36;1.17.51;1.18.21;1.18.32
277;1.17.55;1.18.01;1.18.36;1.17.37;1.17.50;1.18.20;1.19.31
278;1.19.03;1.19.08;1.19.43;1.19.44;1.20.02;1.20.32;1.20.44
279;1.20.18;1.20.23;1.20.58;1.20.58;1.21.12;1.21.42;1.21.54
280;1.21.30;1.21.36;1.22.11;1.22.11;1.22.24;1.22.54;1.23.04
281;1.22.28;1.22.34;1.23.09;1.23.13;1.23.26;1.23.56;1.24.04
282;1.23.38;1.23.44;1.24.19;1.24.21;1.24.33;1.25.03;1.25.17
283;1.24.37;1.24.44;1.25.19;1.25.23;1.25.35;1.26.05;1.26.21
284;1.25.58;1.26.07;1.26.42;1.26.43;1.26.55;1.27.25;1.27.36
285;1.27.04;1.27.10;1.27.45;1.27.48;1.28.01;1.28.31;1.28.42
286;1.28.07;1.28.16;1.28.51;1.28.55;1.29.17;1.29.47;1.30.02
