Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
1;0.01.04;0.01.23;0.01.58;0.01.59;0.02.14;0.02.44;0.02.51
2;0.02.16;0.02.25;0.03.00;0.03.00;0.03.28;0.03.58;0.04.07
3;0.03.31;0.03.43;0.04.18;0.04.20;0.04.36;0.05.06;0.05.11
4;0.04.39;0.04.44;0.05.19;0.05.19;0.05.31;0.06.01;0.06.17
5;0.05.58;0.06.03;0.06.38;0.06.40;0.07.01;0.07.31;0.07.41
6;0.07.21;0.07.27;0.08.02;0.08.03;0.08.21;0.08.51;0.09.00
7;0.09.01;0.09.05;0.09.40;0.09.42;0.09.54;0.10.24;0.10.34
8;0.09.58;0.10.02;0.10.37;0.10.38;0.10.51;0.11.21;0.11.27
9;0.11.29;0.11.40;0.12.15;0.12.20;0.12.41;0.13.11;0.13.17
10;0.12.52;0.13.01;0.13.36;0.13.37;0.13.48;0.14.18;0.14.29
11;0.14.30;0.14.37;0.15.12;0.15.14;0.15.27;0.15.57;0.16.04
12;0.15.30;0.15.35;0.16.10;0.16.11;0.16.23;0.16.53;0.17.00
13;0.16.25;0.16.33;0.17.08;0.17.10;0.17.23;0.17.53;0.18.02
14;0.17.28;0.17.36;0.18.11;0.18.12;0.18.20;0.18.50;0.19.01
15;0.18.27;0.18.32;0.19.07;0.19.08;0.19.22;0.19.52;0.20.00
16;0.20.02;0.20.09;0.20.44;0.20.46;0.21.02;0.21.32;0.21.41
17;0.21.23;0.21.30;0.22.05;0.22.06;0.22.23;0.22.53;0.23.00
18;0.22.27;0.22.33;0.23.08;0.23.08;0.23.20;0.23.50;0.24.12
19;0.23.52;0.23.58;0.24.33;0.24.36;0.24.47;0.25.17;0.25.38
20;0.25.21;0.25.28;0.26.03;0.26.05;0.26.16;0.26.46;0.26.55
21;0.26.37;0.26.43;0.27.18;0.27.24;0.27.40;0.28.10;0.28.27
22;0.28.08;0.28.13;0.28.48;0.28.51;0.29.05;0.29.35;0.30.35
23;0.30.03;0.30.08;0.30.43;0.30.46;0.30.58;0.31.28;0.31.37
24;0.31.00;0.31.05;0.31.40;0.31.49;0.32.05;0.32.35;0.32.44
25;0.32.50;0.32.58;0.33.33;0.33.35;0.33.45;0.34.15;0.34.46
26;0.01.02;0.01.10;0.01.45;0.01.54;0.02.06;0.02.36;0.03.13
