Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
27;0.02.23;0.02.28;0.03.03;0.03.27;0.03.48;0.04.18;0.04.26
28;0.03.51;0.04.01;0.04.36;0.04.38;0.04.49;0.05.19;0.05.28
29;0.04.52;0.04.57;0.05.32;0.05.34;0.05.48;0.06.18;0.06.40
30;0.05.52;0.05.59;0.06.34;0.06.45;0.07.06;0.07.36;0.07.50
31;0.07.09;0.07.14;0.07.49;0.07.55;0.08.13;0.08.43;0.08.57
32;0.08.16;0.08.23;0.08.58;0.08.59;0.09.15;0.09.45;0.09.54
33;0.10.24;0.10.28;0.11.03;0.11.10;0.11.24;0.11.54;0.12.06
34;0.11.41;0.11.50;0.12.25;0.12.25;0.12.38;0.13.08;0.13.17
35;0.12.57;0.13.03;0.13.38;0.13.39;0.13.50;0.14.20;0.14.27
36;0.13.56;0.14.06;0.14.41;0.14.44;0.14.56;0.15.26;0.15.42
37;0.16.00;0.16.07;0.16.42;0.16.42;0.16.55;0.17.25;0.17.44
38;0.17.39;0.17.44;0.18.19;0.18.20;0.18.32;0.19.02;0.19.10
39;0.18.35;0.18.39;0.19.14;0.19.15;0.19.35;0.20.05;0.20.14
40;0.19.38;0.19.43;0.20.18;0.20.18;0.20.36;0.21.06;0.21.17
41;0.21.32;0.21.38;0.22.13;0.22.15;0.22.27;0.22.57;0.23.03
42;0.22.36;0.22.43;0.23.18;0.23.21;0.23.33;0.24.03;0.24.10
43;0.24.14;0.24.18;0.24.53;0.24.59;0.25.17;0.25.47;0.25.57
44;0.25.20;0.25.25;0.26.00;0.26.05;0.26.17;0.26.47;0.26.55
45;0.26.21;0.26.26;0.27.01;0.27.04;0.27.18;0.27.48;0.27.56
46;0.27.58;0.28.03;0.28.38;0.28.41;0.28.54;0.29.24;0.29.40
47;0.29.03;0.29.09;0.29.44;0.29.46;0.29.58;0.30.28;0.30.36
48;0.30.39;0.30.45;0.31.20;0.31.25;0.31.35;0.32.05;0.32.12
49;0.31.39;0.31.45;0.32.20;0.32.22;0.32.32;0.33.02;0.33.08
50;0.32.37;0.32.47;0.33.22;0.33.24;0.33.31;0.34.01;0.34.09
51;0.34.13;0.34.23;0.34.58;0.35.06;0.35.18;0.35.48;0.35.54
52;0.35.57;0.36.03;0.36.38;0.36.43;0.36.50;0.37.20;0.37.27
53;0.39.03;0.39.08;0.39.43;0.39.49;0.40.04;0.40.34;0.40.53
54;0.40.08;0.40.14;0.40.49;0.41.14;0.41.30;0.42.00;0.42.13
55;0.41.32;0.41.38;0.42.13;0.42.22;0.42.37;0.43.07;0.43.23
56;0.42.39;0.42.44;0.43.19;0.43.32;0.43.39;0.44.09;0.44.34
57;0.43.51;0.43.55;0.44.30;0.44.40;0.45.06;0.45.36;0.45.50
58;0.44.56;0.45.02;0.45.37;0.45.55;0.46.13;0.46.43;0.47.03
59;0.46.16;0.46.22;0.46.57;0.47.06;0.47.18;0.47.48;0.47.58
60;0.47.20;0.47.30;0.48.05;0.48.06;0.48.15;0.48.45;0.49.02
61;0.49.13;0.49.19;0.49.54;0.50.08;0.50.23;0.50.53;0.51.24
62;0.50.27;0.50.31;0.51.06;0.51.29;0.51.42;0.52.12;0.52.20
63;0.52.00;0.52.05;0.52.40;0.52.44;0.53.02;0.53.32;0.53.40
64;0.53.16;0.53.21;0.53.56;0.53.58;0.54.08;0.54.38;0.54.46
65;0.54.50;0.54.55;0.55.30;0.55.47;0.55.59;0.56.29;0.56.39
66;0.56.03;0.56.09;0.56.44;0.56.44;0.56.53;0.57.23;0.57.33
67;0.56.58;0.57.06;0.57.41;0.57.48;0.57.59;0.58.29;0.58.43
68;0.58.04;0.58.10;0.58.45;0.58.47;0.59.03;0.59.33;0.59.43
69;0.59.16;0.59.22;0.59.57;1.00.00;1.00.14;1.00.44;1.01.03
70;1.00.28;1.00.35;1.01.10;1.01.12;1.01.28;1.01.58;1.02.13
71;0.02.19;0.02.23;0.02.58;0.03.03;0.03.15;0.03.45;0.03.50
72;0.03.16;0.03.20;0.03.55;0.03.56;0.04.03;0.04.33;0.04.38
73;0.04.15;0.04.18;0.04.53;0.04.54;0.05.07;0.05.37;0.05.43
74;0.05.08;0.05.13;0.05.48;0.05.49;0.06.01;0.06.31;0.06.38
75;0.06.03;0.06.08;0.06.43;0.06.44;0.06.55;0.07.25;0.07.35
76;0.06.59;0.07.04;0.07.39;0.07.40;0.07.53;0.08.23;0.08.37
77;0.08.17;0.08.24;0.08.59;0.09.01;0.09.14;0.09.44;0.09.50
78;0.10.53;0.11.00;0.11.35;0.11.37;0.11.50;0.12.20;0.12.37
79;0.12.11;0.12.16;0.12.51;0.12.57;0.13.07;0.13.37;0.13.46
80;0.13.13;0.13.18;0.13.53;0.13.54;0.14.07;0.14.37;0.14.45
81;0.14.12;0.14.22;0.14.57;0.14.59;0.15.10;0.15.40;0.16.20
82;0.15.31;0.15.35;0.16.10;0.16.23;0.16.37;0.17.07;0.17.20
83;0.16.40;0.16.48;0.17.23;0.17.24;0.17.36;0.18.06;0.18.16
84;0.17.40;0.17.45;0.18.20;0.18.23;0.18.35;0.19.05;0.19.13
85;0.18.38;0.18.44;0.19.19;0.19.24;0.19.36;0.20.06;0.21.01
86;0.20.08;0.20.16;0.20.51;0.21.03;0.21.14;0.21.44;0.21.54
87;0.21.27;0.21.36;0.22.11;0.22.31;0.22.58;0.23.28;0.24.37
88;0.23.30;0.23.36;0.24.11;0.24.41;0.25.12;0.25.11;0.25.48
89;0.24.59;0.25.08;0.25.43;0.25.54;0.26.04;0.26.34;0.26.42
90;0.26.14;0.26.20;0.26.55;0.26.56;0.27.08;0.27.38;0.27.45
91;0.27.12;0.27.16;0.27.51;0.27.52;0.28.02;0.28.32;0.28.46
92;0.28.31;0.28.36;0.29.11;0.29.12;0.29.22;0.29.52;0.30.04
93;0.29.41;0.29.48;0.30.23;0.30.25;0.30.35;0.31.05;0.31.17
94;0.31.40;0.31.46;0.32.21;0.32.22;0.32.33;0.33.03;0.33.14
95;0.33.16;0.33.22;0.33.57;0.34.03;0.34.09;0.34.39;0.34.47
96;0.34.49;0.34.55;0.35.30;0.35.32;0.31.46;0.32.16;0.36.25
97;0.35.49;0.35.54;0.36.29;0.36.30;0.36.41;0.37.11;0.37.23
98;0.36.44;0.36.48;0.37.23;0.37.29;0.37.42;0.38.12;0.38.26
99;0.37.56;0.38.03;0.38.38;0.38.40;0.38.51;0.39.21;0.39.34
100;0.39.06;0.39.10;0.39.45;0.39.51;0.40.02;0.40.32;0.40.43
101;0.40.24;0.40.28;0.41.03;0.41.42;0.41.53;0.42.23;0.42.32
102;0.42.35;0.42.40;0.43.15;0.43.16;0.43.26;0.43.56;0.44.05
103;0.43.32;0.43.38;0.44.13;0.44.22;0.44.34;0.45.04;0.45.16
104;0.45.36;0.45.42;0.46.17;0.46.20;0.46.30;0.47.00;0.47.28
105;0.46.36;0.46.40;0.47.15;0.47.31;0.47.41;0.48.11;0.48.25
106;0.48.28;0.48.34;0.49.09;0.49.11;0.49.22;0.49.52;0.50.09
107;0.49.25;0.49.29;0.50.04;0.50.11;0.50.21;0.50.51;0.51.01
108;0.50.23;0.50.28;0.51.03;0.51.04;0.51.19;0.51.49;0.51.59
109;0.51.22;0.51.27;0.52.02;0.52.03;0.52.17;0.52.47;0.52.59
110;0.52.21;0.52.27;0.53.02;0.53.03;0.53.15;0.53.45;0.54.09
111;0.53.48;0.53.53;0.54.28;0.54.32;0.54.44;0.55.14;0.55.52
112;0.55.33;0.55.42;0.56.17;0.56.18;0.56.31;0.57.01;0.57.08
113;0.56.35;0.56.31;0.57.06;0.57.20;0.57.31;0.58.01;0.58.13
114;0.57.53;0.57.59;0.58.34;0.58.37;0.58.47;0.59.17;0.59.38
115;0.58.54;0.59.00;0.59.35;0.59.39;0.59.52;1.00.22;1.00.33
116;1.00.42;1.00.49;1.01.24;1.02.47;1.02.57;1.03.27;1.03.40
117;1.02.59;1.03.17;1.03.52;1.03.59;1.04.17;1.04.47;1.05.10
118;1.04.09;1.04.15;1.04.50;1.05.20;1.05.29;1.05.59;1.06.04
119;1.05.30;1.05.33;1.06.08;1.06.10;1.06.29;1.06.59;1.07.09
120;1.06.31;1.06.36;1.07.11;1.07.12;1.07.21;1.07.51;1.08.25
121;1.07.23;1.07.28;1.08.03;1.08.27;1.08.43;1.09.13;1.09.25
122;1.09.59;1.10.05;1.10.40;1.10.57;1.11.04;1.11.34;1.12.02
123;1.11.25;1.11.32;1.12.07;1.12.16;1.12.27;1.12.57;1.13.41
124;1.12.30;1.12.41;1.13.16;1.13.43;1.13.52;1.14.22;1.14.43
125;1.13.56;1.13.59;1.14.34;1.14.48;1.14.59;1.15.18;1.15.46
126;1.15.08;1.15.15;1.15.50;1.15.52;1.16.04;1.16.34;1.16.46
127;1.16.08;1.16.13;1.16.48;1.16.49;1.16.58;1.17.28;1.17.51
128;1.17.03;1.17.08;1.17.43;1.17.52;1.18.35;1.19.05;1.19.32
129;1.18.38;1.18.48;1.19.23;1.19.45;1.19.57;1.20.27;1.20.52
130;1.20.01;1.20.06;1.20.41;1.20.54;1.21.05;1.21.35;1.22.39
131;1.22.02;1.22.10;1.22.45;1.22.47;1.23.01;1.23.31;1.24.56
132;1.23.54;1.23.59;1.24.34;1.25.01;1.25.13;1.25.43;1.26.04
133;1.25.23;1.25.29;1.26.04;1.26.08;1.26.18;1.26.48;1.26.59
134;1.26.21;1.26.25;1.27.00;1.27.08;1.27.19;1.27.49;1.29.47
135;1.29.34;1.29.38;1.30.13;1.30.26;1.30.34;1.31.04;1.31.34
136;1.30.36;1.30.40;1.31.15;1.31.37;1.32.06;1.32.36;1.32.47
137;1.31.55;1.32.03;1.32.38;1.32.51;1.33.08;1.33.38;1.34.00
138;1.33.11;1.33.15;1.33.50;1.34.03;1.34.11;1.34.41;1.35.00
139;1.34.17;1.34.22;1.34.57;1.35.04;1.35.14;1.35.44;1.36.01
140;1.35.18;1.35.26;1.36.01;1.36.03;1.36.15;1.36.45;1.36.58
141;1.37.41;1.38.46;1.39.21;1.38.27;1.38.40;1.39.10;1.39.39
142;0.00.46;0.00.54;0.01.29;0.01.30;0.01.42;0.02.12;0.02.25
143;0.01.46;0.01.55;0.02.30;0.02.31;0.02.45;0.03.15;0.03.51
144;0.03.10;0.03.19;0.03.54;0.03.55;0.04.07;0.04.37;0.05.08
145;0.04.18;0.04.27;0.05.02;0.05.10;0.05.22;0.05.52;0.06.39
146;0.05.45;0.05.43;0.06.18;0.06.41;0.06.54;0.07.24;0.07.33
147;0.07.35;0.07.40;0.08.15;0.08.17;0.08.33;0.09.03;0.09.12
148;0.08.49;0.08.55;0.09.30;0.09.31;0.09.44;0.10.14;0.10.33
149;0.10.09;0.10.16;0.10.51;0.10.52;0.11.05;0.11.35;0.11.43
150;0.11.22;0.11.28;0.12.03;0.12.04;0.12.16;0.12.46;0.12.55
151;0.12.56;0.13.07;0.13.42;0.13.43;0.13.55;0.14.25;0.14.35
152;0.13.59;0.14.04;0.14.39;0.14.40;0.14.52;0.15.22;0.15.37
153;0.15.17;0.15.24;0.15.59;0.16.01;0.16.11;0.16.41;0.16.59
154;0.16.19;0.16.26;0.17.01;0.17.03;0.17.14;0.17.44;0.17.59
155;0.18.20;0.18.25;0.19.00;0.19.01;0.19.14;0.19.44;0.19.57
156;0.19.18;0.19.25;0.20.00;0.20.01;0.20.15;0.20.45;0.21.53
157;0.20.19;0.20.26;0.21.01;0.21.55;0.22.05;0.22.35;0.22.51
158;0.22.09;0.22.12;0.22.47;0.22.58;0.23.08;0.23.38;0.23.48
159;0.23.11;0.23.18;0.23.53;0.23.54;0.24.02;0.24.32;0.25.10
160;0.24.45;0.24.52;0.25.27;0.25.35;0.25.44;0.26.14;0.26.26
161;0.25.51;0.25.57;0.26.32;0.26.33;0.26.45;0.27.15;0.27.28
162;0.27.02;0.27.10;0.27.45;0.27.49;0.28.01;0.28.31;0.29.11
163;0.28.51;0.28.56;0.29.31;0.29.42;0.29.54;0.30.24;0.30.55
164;0.30.00;0.30.05;0.30.40;0.30.59;0.31.21;0.31.51;0.33.34
165;0.33.16;0.33.22;0.33.57;0.34.33;0.34.44;0.35.14;0.35.30
166;0.34.48;0.34.56;0.35.31;0.35.32;0.35.43;0.36.13;0.36.28
167;0.35.47;0.35.54;0.36.29;0.36.30;0.36.47;0.37.17;0.37.40
168;0.36.53;0.37.02;0.37.37;0.37.56;0.38.11;0.38.41;0.39.14
169;0.38.18;0.38.29;0.39.04;0.39.18;0.39.33;0.40.03;0.40.23
170;0.39.38;0.39.44;0.40.19;0.40.29;0.40.46;0.41.16;0.41.33
171;0.40.52;0.40.58;0.41.33;0.41.34;0.41.56;0.42.26;0.42.52
172;0.42.12;0.42.22;0.42.57;0.43.12;0.43.29;0.43.59;0.44.21
173;0.43.35;0.43.42;0.44.17;0.44.25;0.44.43;0.45.13;0.45.26
174;0.44.48;0.44.55;0.45.30;0.45.50;0.46.04;0.46.34;0.46.43
175;0.46.08;0.46.16;0.46.51;0.47.00;0.47.12;0.47.42;0.47.52
176;0.47.16;0.47.25;0.48.00;0.48.01;0.48.13;0.48.43;0.49.07
177;0.48.25;0.48.31;0.49.06;0.49.21;0.49.50;0.50.20;0.50.49
178;0.49.54;0.49.59;0.50.34;0.50.53;0.51.07;0.51.37;0.51.50
179;0.51.24;0.51.30;0.52.05;0.52.05;0.52.17;0.52.47;0.52.56
180;0.52.36;0.52.40;0.53.15;0.53.19;0.53.35;0.54.05;0.54.21
181;0.53.53;0.54.04;0.54.39;0.54.48;0.55.03;0.55.33;0.55.47
182;0.55.14;0.55.22;0.55.57;0.56.01;0.56.12;0.56.42;0.57.10
183;0.56.18;0.56.25;0.57.00;0.57.13;0.57.27;0.57.57;0.58.21
184;0.57.49;0.57.59;0.58.34;0.58.35;0.58.48;0.59.18;0.59.45
