Units processed;Start;Stop;;;;;
168;0.56.54;0.57.31;;;;;
169;0.57.57;0.58.57;;;;;
170;0.58.59;0.59.42;;;;;
171;1.00.16;1.01.07;;;;;
172;1.01.37;1.02.19;;;;;
173;1.02.45;1.03.31;;;;;
174;1.03.42;1.04.30;;;;;
175;1.04.56;1.05.33;;;;;
176;1.05.53;1.06.34;;;;;
177;1.06.46;1.07.27;;;;;
178;1.07.55;1.08.37;;;;;
179;1.09.02;1.09.44;;;;;
180;1.10.11;1.10.50;;;;;
181;1.11.22;1.12.23;;;;;
182;1.12.57;1.13.31;;;;;
183;1.13.48;1.14.30;;;;;
184;1.14.52;1.15.34;;;;;
185;1.15.36;1.16.55;;;;;
186;1.17.00;1.17.40;;;;;
187;1.17.48;1.18.21;;;;;
188;1.18.43;1.19.20;;;;;
189;1.19.57;1.20.31;;;;;
190;1.22.22;1.23.01;;;;;
191;1.23.12;1.23.56;;;;;
192;1.23.59;1.24.39;;;;;
193;1.24.53;1.24.32;;;;;
194;1.25.49;1.26.29;;;;;
195;1.26.48;1.27.29;;;;;
196;1.27.48;1.28.28;;;;;
197;1.29.21;1.29.59;;;;;
198;1.30.33;1.31.20;;;;;
199;1.31.37;1.32.14;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
