Units processed;Start;Stop;;;;;
266;1.08.13;1.09.03;;;;;
267;1.09.09;1.10.27;;;;;
268;1.11.15;1.11.31;;;;;
269;1.11.34;1.12.20;;;;;
270;1.12.30;1.13.17;;;;;
271;1.13.22;1.14.39;;;;;
272;1.14.43;1.15.33;;;;;
273;1.11.41;1.16.46;;;;;
274;1.16.51;1.17.40;;;;;
275;1.17.49;1.19.05;;;;;
276;1.19.12;1.20.22;;;;;
277;1.20.24;1.21.17;;;;;
278;1.21.33;1.22.28;;;;;
279;1.22.38;1.23.48;;;;;
280;1.23.50;1.24.37;;;;;
281;1.25.02;1.25.50;;;;;
282;1.26.26;1.27.23;;;;;
283;1.27.32;1.28.40;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
