Units processed;Start;Stop;;;;;
1;0.00.04;0.01.10;;;;;
2;0.01.36;0.02.34;;;;;
3;0.02.38;0.03.55;;;;;
4;0.04.06;0.05.30;;;;;
5;0.05.31;0.07.01;;;;;
6;0.07.03;0.08.41;;;;;
7;0.08.43;0.10.00;;;;;
8;0.10.01;0.11.09;;;;;
9;0.11.15;0.12.34;;;;;
10;0.13.02;0.14.02;;;;;
11;0.14.03;0.15.22;;;;;
12;0.15.23;0.16.40;;;;;
13;0.16.41;0.17.47;;;;;
14;0.17.55;0.18.50;;;;;
15;0.18.52;0.20.02;;;;;
16;0.20.04;0.21.05;;;;;
17;0.21.07;0.22.05;;;;;
18;0.22.07;0.23.07;;;;;
19;0.23.09;0.23.59;;;;;
20;0.24.18;0.25.35;;;;;
21;0.25.37;0.26.36;;;;;
22;0.26.38;0.27.32;;;;;
23;0.27.36;0.28.14;;;;;
24;0.28.23;0.28.53;;;;;
25;0.29.21;0.30.19;;;;;
26;0.30.21;0.31.02;;;;;
27;0.31.03;0.32.30;;;;;
28;0.32.31;0.33.55;;;;;
29;0.33.57;0.34.41;;;;;
30;0.34.43;0.35.34;;;;;
31;0.35.40;0.36.39;;;;;
32;0.37.10;0.37.53;;;;;
33;0.38.19;0.39.21;;;;;
34;0.00.42;0.01.55;;;;;
35;0.01.58;0.03.05;;;;;
36;0.03.06;0.04.24;;;;;
37;0.04.26;0.05.06;;;;;
38;0.05.08;0.06.03;;;;;
39;0.06.05;0.07.17;;;;;
40;0.07.19;0.08.40;;;;;
41;0.08.41;0.10.13;;;;;
42;0.10.15;0.11.19;;;;;
43;0.11.20;0.12.30;;;;;
44;0.12.32;0.13.54;;;;;
45;0.13.56;0.15.16;;;;;
46;0.15.20;0.16.55;;;;;
47;0.16.57;0.17.54;;;;;
48;0.17.58;0.18.41;;;;;
49;0.19.10;0.19.44;;;;;
50;0.19.46;0.20.51;;;;;
51;0.20.52;0.21.40;;;;;
52;0.21.44;0.22.15;;;;;
53;0.22.17;0.23.03;;;;;
54;0.23.29;0.23.56;;;;;
55;0.23.58;0.25.01;;;;;
56;0.25.31;0.26.38;;;;;
57;0.26.41;0.27.52;;;;;
58;0.28.00;0.29.04;;;;;
59;0.29.08;0.29.56;;;;;
60;0.29.58;0.31.09;;;;;
61;0.31.11;0.32.30;;;;;
62;0.32.32;0.33.27;;;;;
63;0.33.28;0.34.48;;;;;
64;0.34.50;0.35.23;;;;;
65;0.00.00;0.00.36;;;;;
66;0.00.37;0.01.32;;;;;
67;0.01.35;0.02.30;;;;;
68;0.02.32;0.03.10;;;;;
69;0.03.12;0.04.45;;;;;
70;0.04.47;0.05.49;;;;;
71;0.05.52;0.06.45;;;;;
72;0.06.47;0.07.26;;;;;
73;0.07.32;0.08.38;;;;;
74;0.08.41;0.09.14;;;;;
75;0.09.18;0.10.31;;;;;
76;0.10.40;0.11.23;;;;;
77;0.11.45;0.12.49;;;;;
78;0.12.54;0.13.50;;;;;
79;0.13.53;0.14.31;;;;;
80;0.14.37;0.15.36;;;;;
81;0.15.40;0.17.18;;;;;
82;0.17.20;0.18.12;;;;;
83;0.18.15;0.19.10;;;;;
84;0.19.19;0.20.07;;;;;
85;0.20.16;0.20.42;;;;;
86;0.21.11;0.21.52;;;;;
87;0.22.16;0.22.46;;;;;
88;0.23.00;0.24.13;;;;;
89;0.24.14;0.25.17;;;;;
90;0.25.20;0.26.09;;;;;
91;0.26.18;0.27.36;;;;;
92;0.28.08;0.28.37;;;;;
93;0.28.41;0.29.45;;;;;
94;0.29.49;0.30.57;;;;;
95;0.31.00;0.32.04;;;;;
96;0.32.34;0.33.28;;;;;
97;0.33.44;0.34.42;;;;;
98;0.34.43;0.35.49;;;;;
99;0.35.51;0.36.51;;;;;
100;0.36.53;0.37.51;;;;;
101;0.37.55;0.38.15;;;;;
102;0.38.35;0.39.03;;;;;
103;0.39.37;0.40.56;;;;;
104;0.41.05;0.42.03;;;;;
105;0.42.44;0.43.47;;;;;
106;0.43.50;0.44.24;;;;;
107;0.44.40;0.45.32;;;;;
108;0.45.52;0.46.29;;;;;
109;0.46.33;0.47.51;;;;;
110;0.48.18;0.48.38;;;;;
111;0.48.40;0.50.03;;;;;
112;0.50.12;0.51.15;;;;;
113;0.51.33;0.52.50;;;;;
114;0.00.17;0.01.13;;;;;
115;0.01.53;0.02.43;;;;;
116;0.03.06;0.04.08;;;;;
117;0.04.44;0.05.20;;;;;
118;0.05.25;0.06.13;;;;;
119;0.07.06;0.07.36;;;;;
120;0.07.38;0.08.09;;;;;
121;0.08.21;0.09.29;;;;;
122;0.09.31;0.10.00;;;;;
123;0.10.04;0.11.09;;;;;
124;0.11.20;0.12.29;;;;;
125;0.12.30;0.13.17;;;;;
126;0.13.24;0.14.04;;;;;
127;0.14.21;0.15.59;;;;;
128;0.16.00;0.16.30;;;;;
129;0.16.49;0.17.22;;;;;
130;0.17.37;0.18.12;;;;;
131;0.18.55;0.19.44;;;;;
132;0.20.04;0.20.44;;;;;
133;0.21.08;0.21.47;;;;;
134;0.21.56;0.22.43;;;;;
135;0.23.18;0.23.50;;;;;
136;0.24.14;0.24.49;;;;;
137;0.25.18;0.25.54;;;;;
138;0.26.16;0.26.53;;;;;
139;0.27.16;0.27.41;;;;;
140;0.28.33;0.28.59;;;;;
141;0.29.24;0.30.06;;;;;
142;0.31.11;0.31.56;;;;;
143;0.32.00;0.32.53;;;;;
144;0.33.10;0.33.43;;;;;
145;0.33.46;0.34.40;;;;;
146;0.34.59;0.35.46;;;;;
147;0.35.48;0.36.57;;;;;
148;0.36.59;0.38.06;;;;;
149;0.38.12;0.38.58;;;;;
150;0.39.00;0.39.56;;;;;
151;0.40.10;0.40.42;;;;;
152;0.41.06;0.41.41;;;;;
153;0.42.11;0.42.50;;;;;
154;0.43.23;0.44.05;;;;;
155;0.44.42;0.45.52;;;;;
156;0.46.02;0.47.12;;;;;
157;0.47.14;0.47.50;;;;;
158;0.47.53;0.48.56;;;;;
159;0.49.00;0.49.41;;;;;
160;0.50.02;0.50.35;;;;;
161;0.50.37;0.51.37;;;;;
162;0.51.49;0.52.33;;;;;
163;0.00.07;0.01.17;;;;;
164;0.01.19;0.02.19;;;;;
165;0.02.20;0.03.33;;;;;
166;0.03.40;0.04.42;;;;;
167;0.04.44;0.05.56;;;;;
168;0.05.58;0.07.10;;;;;
169;0.07.11;0.08.25;;;;;
170;0.09.28;0.10.36;;;;;
171;0.10.55;0.12.16;;;;;
172;0.12.18;0.13.31;;;;;
173;0.13.39;0.14.57;;;;;
174;0.15.00;0.16.10;;;;;
175;0.16.14;0.17.46;;;;;
176;0.17.50;0.18.56;;;;;
177;0.18.59;0.20.15;;;;;
178;0.20.27;0.21.43;;;;;
179;0.21.45;0.22.50;;;;;
180;0.23.00;0.24.06;;;;;
181;0.24.10;0.25.11;;;;;
182;0.25.12;0.26.22;;;;;
183;0.26.23;0.27.24;;;;;
184;0.27.27;0.28.42;;;;;
185;0.28.43;0.29.24;;;;;
186;0.29.32;0.30.17;;;;;
187;0.30.19;0.31.16;;;;;
188;0.31.28;0.32.52;;;;;
189;0.32.56;0.33.43;;;;;
190;0.33.48;0.34.48;;;;;
191;0.35.05;0.36.10;;;;;
192;0.36.15;0.37.33;;;;;
193;0.37.35;0.39.00;;;;;
194;0.39.08;0.39.47;;;;;
195;0.39.54;0.40.53;;;;;
196;0.40.57;0.41.57;;;;;
197;0.41.59;0.42.47;;;;;
198;0.42.49;0.44.08;;;;;
199;0.44.11;0.45.12;;;;;
200;0.45.26;0.46.18;;;;;
201;0.46.28;0.47.34;;;;;
202;0.47.40;0.48.33;;;;;
203;0.48.42;0.49.35;;;;;
204;0.49.40;0.50.49;;;;;
205;0.50.53;0.51.58;;;;;
206;0.52.13;0.53.11;;;;;
207;0.00.17;0.01.10;;;;;
208;0.01.13;0.02.25;;;;;
209;0.02.27;0.03.32;;;;;
210;0.03.38;0.04.52;;;;;
211;0.04.54;0.05.50;;;;;
212;0.05.53;0.07.05;;;;;
213;0.07.08;0.08.04;;;;;
214;0.08.06;0.09.21;;;;;
215;0.09.23;0.10.25;;;;;
216;0.10.28;0.11.38;;;;;
217;0.11.41;0.12.53;;;;;
218;0.12.55;0.13.55;;;;;
219;0.13.56;0.14.57;;;;;
220;0.14.59;0.16.08;;;;;
221;0.16.10;0.17.12;;;;;
222;0.17.14;0.18.09;;;;;
223;0.18.11;0.19.07;;;;;
224;0.19.09;0.20.15;;;;;
225;0.20.18;0.21.18;;;;;
226;0.21.20;0.22.35;;;;;
227;0.22.38;0.23.22;;;;;
228;0.23.25;0.24.39;;;;;
229;0.24.45;0.25.26;;;;;
230;0.25.48;0.26.39;;;;;
231;0.26.41;0.27.30;;;;;
232;0.27.33;0.28.45;;;;;
233;0.28.48;0.29.49;;;;;
234;0.29.51;0.30.38;;;;;
235;0.30.56;0.32.07;;;;;
236;0.32.10;0.33.09;;;;;
237;0.33.12;0.34.30;;;;;
238;0.34.32;0.35.44;;;;;
239;0.35.47;0.36.38;;;;;
240;0.36.41;0.38.07;;;;;
241;0.38.09;0.39.25;;;;;
242;0.40.29;0.41.19;;;;;
243;0.41.20;0.43.47;;;;;
244;0.43.50;0.44.28;;;;;
245;0.44.30;0.45.16;;;;;
246;0.45.18;0.46.20;;;;;
247;0.46.26;0.47.38;;;;;
248;0.47.40;0.48.44;;;;;
249;0.48.46;0.50.03;;;;;
250;0.50.04;0.51.00;;;;;
251;0.51.01;0.52.09;;;;;
252;0.52.10;0.53.05;;;;;
253;0.53.06;0.54.01;;;;;
254;0.54.02;0.54.55;;;;;
255;0.54.57;0.56.03;;;;;
256;0.56.06;0.57.00;;;;;
257;0.57.14;0.58.32;;;;;
258;0.58.35;0.59.36;;;;;
259;0.59.57;1.01.05;;;;;
260;1.01.10;1.02.13;;;;;
261;1.02.15;1.03.24;;;;;
262;1.03.25;1.04.49;;;;;
263;1.04.53;1.06.05;;;;;
264;1.06.08;1.07.03;;;;;
265;1.07.05;1.08.10;;;;;
