Units processed;Start;Stop;;;;;
90;0.25.25;0.26.06;;;;;
91;0.26.27;0.27.15;;;;;
92;0.27.35;0.28.20;;;;;
93;0.28.36;0.29.37;;;;;
94;0.29.40;0.30.30;;;;;
95;0.30.43;0.31.38;;;;;
96;0.32.24;0.33.36;;;;;
97;0.33.40;0.34.24;;;;;
98;0.38.04;0.38.44;;;;;
99;0.38.46;0.39.25;;;;;
100;0.39.27;0.40.15;;;;;
101;0.40.17;0.41.13;;;;;
102;0.41.15;0.42.02;;;;;
103;0.42.05;0.43.15;;;;;
104;0.43.27;0.44.25;;;;;
105;0.44.31;0.45.30;;;;;
106;0.45.35;0.46.31;;;;;
107;0.47.50;0.48.52;;;;;
108;0.48.56;0.49.53;;;;;
109;0.50.20;0.51.32;;;;;
110;0.51.34;0.52.24;;;;;
111;0.52.45;0.53.32;;;;;
112;0.54.18;0.55.13;;;;;
113;0.55.21;0.56.20;;;;;
114;0.56.21;0.57.30;;;;;
115;0.57.38;0.58.31;;;;;
116;0.58.41;0.59.34;;;;;
117;1.00.24;1.01.20;;;;;
118;1.02.06;1.02.57;;;;;
119;1.04.00;1.05.52;;;;;
120;1.05.56;1.06.36;;;;;
121;1.06.38;1.07.43;;;;;
122;1.07.47;1.09.14;;;;;
123;1.09.17;1.11.19;;;;;
124;1.11.26;1.12.28;;;;;
125;1.13.00;1.13.48;;;;;
126;1.13.54;1.15.18;;;;;
127;1.15.25;1.16.15;;;;;
128;1.17.00;1.17.25;;;;;
129;1.17.57;1.20.11;;;;;
130;1.20.13;1.20.56;;;;;
131;1.21.07;1.22.21;;;;;
132;1.22.28;1.23.45;;;;;
133;1.25.30;1.26.12;;;;;
134;1.26.15;1.27.50;;;;;
135;1.28.19;1.29.00;;;;;
136;1.29.03;1.29.59;;;;;
137;1.30.23;1.31.18;;;;;
138;1.31.53;1.33.15;;;;;
139;1.33.17;1.35.05;;;;;
140;1.35.20;1.36.22;;;;;
141;1.36.26;1.37.47;;;;;
142;1.37.49;1.38.50;;;;;
143;1.38.53;1.40.12;;;;;
144;0.01.03;0.01.49;;;;;
145;0.02.15;0.03.17;;;;;
146;0.03.31;0.04.26;;;;;
147;0.04.49;0.05.33;;;;;
148;0.05.38;0.06.35;;;;;
149;0.06.45;0.07.36;;;;;
150;0.08.40;0.09.38;;;;;
151;0.12.58;0.13.58;;;;;
152;0.14.01;0.15.07;;;;;
153;0.15.22;0.16.19;;;;;
154;0.16.25;0.17.31;;;;;
155;0.17.44;0.19.18;;;;;
156;0.19.19;0.20.49;;;;;
157;0.20.51;0.22.05;;;;;
158;0.22.15;0.23.18;;;;;
159;0.24.46;0.25.53;;;;;
160;0.25.56;0.26.56;;;;;
161;0.26.59;0.28.18;;;;;
162;0.28.22;0.29.10;;;;;
163;0.29.37;0.30.34;;;;;
164;0.30.36;0.31.31;;;;;
165;0.31.34;0.32.24;;;;;
166;0.32.34;0.33.24;;;;;
167;0.01.12;0.02.40;;;;;
168;0.02.42;0.03.29;;;;;
169;0.03.31;0.04.29;;;;;
170;0.04.33;0.05.32;;;;;
171;0.05.36;0.06.46;;;;;
172;0.06.50;0.08.08;;;;;
173;0.08.43;0.10.12;;;;;
174;0.10.27;0.11.55;;;;;
175;0.11.58;0.13.34;;;;;
176;0.13.35;0.14.46;;;;;
177;0.14.47;0.16.01;;;;;
178;0.16.02;0.16.56;;;;;
179;0.17.19;0.18.12;;;;;
180;0.18.15;0.19.21;;;;;
181;0.19.43;0.21.34;;;;;
182;0.21.36;0.22.44;;;;;
183;0.23.23;0.24.35;;;;;
184;0.23.43;0.26.12;;;;;
185;0.26.12;0.27.30;;;;;
186;0.27.32;0.28.54;;;;;
187;0.28.55;0.30.11;;;;;
188;0.30.13;0.30.23;;;;;
189;0.30.25;0.32.56;;;;;
190;0.32.59;0.34.20;;;;;
191;0.34.23;0.35.57;;;;;
192;0.35.59;0.36.53;;;;;
193;0.36.55;0.37.45;;;;;
194;0.37.47;0.38.58;;;;;
195;0.39.01;0.40.14;;;;;
196;0.40.18;0.41.21;;;;;
197;0.41.24;0.42.28;;;;;
198;0.42.30;0.43.31;;;;;
199;0.43.33;0.44.37;;;;;
200;0.45.21;0.46.33;;;;;
201;0.46.34;0.47.06;;;;;
202;0.48.31;0.50.11;;;;;
203;0.50.13;0.52.03;;;;;
204;0.52.10;0.53.10;;;;;
205;0.53.13;0.54.05;;;;;
206;0.54.08;0.55.16;;;;;
207;0.55.19;0.56.35;;;;;
208;0.56.37;0.57.38;;;;;
209;0.57.40;0.58.54;;;;;
210;0.58.56;0.59.55;;;;;
211;0.59.56;1.00.48;;;;;
212;1.00.51;1.02.00;;;;;
213;1.02.02;1.02.42;;;;;
214;1.02.44;1.03.42;;;;;
215;1.04.38;1.05.54;;;;;
216;1.05.55;1.06.59;;;;;
217;1.07.20;1.08.32;;;;;
218;1.08.34;1.09.28;;;;;
219;1.09.46;1.10.54;;;;;
220;1.10.58;1.12.10;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
