Units processed;Start;Stop;;;;;
1;0.01.40;0.02.34;;;;;
2;0.02.51;0.03.52;;;;;
3;0.04.07;0.05.02;;;;;
4;0.05.13;0.06.28;;;;;
5;0.06.32;0.07.48;;;;;
6;0.07.54;0.09.04;;;;;
7;0.09.42;0.10.41;;;;;
8;0.10.48;0.11.57;;;;;
9;0.12.04;0.13.08;;;;;
10;0.13.25;0.14.44;;;;;
11;0.14.47;0.15.50;;;;;
12;0.16.15;0.17.33;;;;;
13;0.17.37;0.18.47;;;;;
14;0.18.50;0.19.49;;;;;
15;0.19.53;0.21.00;;;;;
16;0.21.03;0.22.08;;;;;
17;0.22.22;0.23.35;;;;;
18;0.23.38;0.25.19;;;;;
19;0.25.22;0.26.20;;;;;
20;0.26.25;0.27.21;;;;;
21;0.27.57;0.29.05;;;;;
22;0.29.21;0.30.23;;;;;
23;0.30.45;0.31.37;;;;;
24;0.31.54;0.33.01;;;;;
25;0.33.27;0.34.38;;;;;
26;0.00.10;0.01.43;;;;;
27;0.02.22;0.03.49;;;;;
28;0.03.52;0.04.46;;;;;
29;0.05.16;0.06.05;;;;;
30;0.06.17;0.07.29;;;;;
31;0.07.38;0.08.35;;;;;
32;0.08.52;0.09.52;;;;;
33;0.09.56;0.11.18;;;;;
34;0.11.21;0.12.41;;;;;
35;0.12.47;0.13.47;;;;;
36;0.14.05;0.15.13;;;;;
37;0.15.31;0.16.36;;;;;
38;0.16.39;0.17.44;;;;;
39;0.18.19;0.19.07;;;;;
40;0.19.23;0.20.23;;;;;
41;0.21.03;0.22.00;;;;;
42;0.22.03;0.22.58;;;;;
43;0.23.26;0.24.42;;;;;
44;0.24.51;0.26.08;;;;;
45;0.26.19;0.27.38;;;;;
46;0.27.40;0.28.35;;;;;
47;0.28.39;0.29.39;;;;;
48;0.30.16;0.31.49;;;;;
49;0.31.51;0.32.44;;;;;
50;0.32.56;0.34.04;;;;;
51;0.34.05;0.35.05;;;;;
52;0.35.08;0.36.02;;;;;
53;0.36.32;0.37.29;;;;;
54;0.39.04;0.40.06;;;;;
55;0.41.42;0.42.43;;;;;
56;0.42.50;0.43.58;;;;;
57;0.44.00;0.44.58;;;;;
58;0.45.02;0.46.06;;;;;
59;0.46.21;0.47.28;;;;;
60;0.47.41;0.48.45;;;;;
61;0.48.50;0.49.41;;;;;
62;0.49.45;0.50.50;;;;;
63;0.51.38;0.52.33;;;;;
64;0.52.46;0.54.05;;;;;
65;0.54.08;0.55.04;;;;;
66;0.55.15;0.56.02;;;;;
67;0.56.46;0.57.50;;;;;
68;0.57.56;0.59.00;;;;;
69;0.59.31;1.00.33;;;;;
70;1.00.34;1.01.41;;;;;
71;1.01.42;1.03.02;;;;;
72;0.01.33;0.02.48;;;;;
73;0.03.01;0.03.50;;;;;
74;0.04.02;0.04.51;;;;;
75;0.04.59;0.05.54;;;;;
76;0.06.10;0.07.02;;;;;
77;0.07.14;0.08.04;;;;;
78;0.08.21;0.09.25;;;;;
79;0.09.40;0.10.33;;;;;
80;0.10.56;0.12.00;;;;;
81;0.12.45;0.13.44;;;;;
82;0.13.56;0.15.07;;;;;
83;0.15.15;0.16.12;;;;;
84;0.17.00;0.17.58;;;;;
85;0.18.22;0.19.00;;;;;
86;0.19.18;0.20.53;;;;;
87;0.20.55;0.21.33;;;;;
88;0.22.51;0.23.28;;;;;
89;0.23.54;0.24.33;;;;;
